"title","rating","poster","totalRatings","releaseDate","genres","popularity"
"O Poderoso Chefão (1972)","9,2","https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY268_CR3,0,182,268_AL_.jpg","1.501.688","10 September 1972 (Brazil)","[""Crime"",""Drama""]","105
      ( 5)"
"Psicopata Americano (2000)","7,6","https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","450.157","22 December 2000 (Brazil)","[""Crime"",""Drama""]","291
      ( 48)"
